18-04-20,00:00:01,orderID, symbol, side, price, leavesQty
19-04-20,14:02:40,e723a953-2e70-99e7-3cac-f23c8f59e7a1, XBTUSD, Sell, 7091, 19125
19-04-20,14:03:51,6883f547-2288-9db4-b7fa-fc8c93883ef9, XBTUSD, Sell, 7085, 1455009
19-04-20,14:03:51,6883f547-2288-9db4-b7fa-fc8c93883ef9, XBTUSD, Sell, 7085, 1455009
19-04-20,14:03:56,e621a2b2-f59d-76e9-df63-2a86125bec2a, XBTUSD, Sell, 7079, 47028
19-04-20,14:03:56,e621a2b2-f59d-76e9-df63-2a86125bec2a, XBTUSD, Sell, 7079, 47028
19-04-20,14:04:02,01d53e6c-e3fa-f35c-70b3-ba0ce8f7b90c, XBTUSD, Sell, 7076, 194206
19-04-20,14:04:02,01d53e6c-e3fa-f35c-70b3-ba0ce8f7b90c, XBTUSD, Sell, 7076, 194206
19-04-20,14:04:34,9ec8bda2-640b-7b28-5a1e-4026411b16c7, XBTUSD, Sell, 7074, 53920
19-04-20,14:04:34,9ec8bda2-640b-7b28-5a1e-4026411b16c7, XBTUSD, Sell, 7074, 53920
19-04-20,14:04:39,73475957-6eda-7f10-ff69-5d65ae1573ec, XBTUSD, Sell, 7072.5, 16835
19-04-20,14:04:39,73475957-6eda-7f10-ff69-5d65ae1573ec, XBTUSD, Sell, 7072.5, 16835
19-04-20,14:04:44,244c95f5-5fcc-e3b5-99ec-a3d4f1fd754d, XBTUSD, Sell, 7063, 700
19-04-20,14:04:44,244c95f5-5fcc-e3b5-99ec-a3d4f1fd754d, XBTUSD, Sell, 7063, 700
19-04-20,14:04:50,6da856e7-eeaa-1477-a2ac-b399926d97fd, XBTUSD, Sell, 7068.5, 117570
19-04-20,14:04:50,6da856e7-eeaa-1477-a2ac-b399926d97fd, XBTUSD, Sell, 7068.5, 117570
19-04-20,16:26:58,7a05e972-2339-f28f-716e-146b0179677c, XBTUSD, Buy, 7128.5, 11464
19-04-20,16:26:58,7a05e972-2339-f28f-716e-146b0179677c, XBTUSD, Buy, 7128.5, 11464
19-04-20,17:09:01,9931a2dc-705a-1524-9ff0-131986c4260d, XBTUSD, Buy, 7138, 7000
19-04-20,17:09:01,9931a2dc-705a-1524-9ff0-131986c4260d, XBTUSD, Buy, 7138, 7000
19-04-20,17:09:07,0cbb9288-6bcf-fe8d-cf46-386aa8f31161, XBTUSD, Buy, 7139.5, 2900
19-04-20,17:09:07,0cbb9288-6bcf-fe8d-cf46-386aa8f31161, XBTUSD, Buy, 7139.5, 2900
19-04-20,17:10:29,d2288715-f26c-b946-d642-061ecc845bd8, XBTUSD, Buy, 7147, 7713
19-04-20,17:10:29,d2288715-f26c-b946-d642-061ecc845bd8, XBTUSD, Buy, 7147, 7713
19-04-20,19:35:10,116f6ef5-707d-988c-81f1-cab4c3e02916, XBTUSD, Sell, 7130.5, 17700
19-04-20,19:35:10,116f6ef5-707d-988c-81f1-cab4c3e02916, XBTUSD, Sell, 7130.5, 17700
19-04-20,21:12:24,cb976ee0-6a02-875a-d1e6-f98ff9473250, XBTUSD, Buy, 7167.5, 10033
19-04-20,21:12:24,cb976ee0-6a02-875a-d1e6-f98ff9473250, XBTUSD, Buy, 7167.5, 10033
19-04-20,21:12:30,bc87eec8-5d18-c4b9-5830-bce23132e627, XBTUSD, Buy, 7168, 4473
19-04-20,21:12:30,bc87eec8-5d18-c4b9-5830-bce23132e627, XBTUSD, Buy, 7168, 4473
19-04-20,21:12:34,51be5712-a8cd-77ba-c568-27750cd42e66, XBTUSD, Buy, 7170.5, 25459
19-04-20,21:12:34,51be5712-a8cd-77ba-c568-27750cd42e66, XBTUSD, Buy, 7170.5, 25459
19-04-20,21:15:30,b9c750ff-2735-0805-0b7d-4e200924d522, XBTUSD, Buy, 7173.5, 50
19-04-20,21:15:30,b9c750ff-2735-0805-0b7d-4e200924d522, XBTUSD, Buy, 7173.5, 50
19-04-20,21:58:30,254d1d31-bc5b-2794-f027-b3cf3234fd33, XBTUSD, Buy, 7181, 30420
19-04-20,21:58:30,254d1d31-bc5b-2794-f027-b3cf3234fd33, XBTUSD, Buy, 7181, 30420
19-04-20,21:58:34,438fdb23-5f41-7358-098f-650bc43a52ae, XBTUSD, Buy, 7189, 207737
19-04-20,21:58:34,438fdb23-5f41-7358-098f-650bc43a52ae, XBTUSD, Buy, 7189, 207737
19-04-20,21:58:41,31ed4198-759f-8761-b513-42465cd21628, XBTUSD, Buy, 7195.5, 1073546
19-04-20,21:58:41,31ed4198-759f-8761-b513-42465cd21628, XBTUSD, Buy, 7195.5, 1073546
19-04-20,21:59:09,7c981a80-9da1-f5a5-f198-c029b3dd5e7d, XBTUSD, Buy, 7203, 1240
19-04-20,21:59:09,7c981a80-9da1-f5a5-f198-c029b3dd5e7d, XBTUSD, Buy, 7203, 1240
19-04-20,21:59:14,ad201051-4a9f-b584-190c-f76b90c92b83, XBTUSD, Buy, 7207, 272817
19-04-20,21:59:14,ad201051-4a9f-b584-190c-f76b90c92b83, XBTUSD, Buy, 7207, 272817
19-04-20,23:38:23,8f32beab-e2fe-1b88-8280-f463a1fadb8b, XBTUSD, Sell, 7164.5, 2200
19-04-20,23:38:23,8f32beab-e2fe-1b88-8280-f463a1fadb8b, XBTUSD, Sell, 7164.5, 2200
19-04-20,23:38:29,675f6360-733b-0975-2420-104794f39567, XBTUSD, Sell, 7158.5, 1000
19-04-20,23:38:29,675f6360-733b-0975-2420-104794f39567, XBTUSD, Sell, 7158.5, 1000
19-04-20,23:38:41,da07ee11-7b1c-71b0-988a-76f852e7edab, XBTUSD, Sell, 7139.5, 1140915
19-04-20,23:38:41,da07ee11-7b1c-71b0-988a-76f852e7edab, XBTUSD, Sell, 7139.5, 1140915
19-04-20,23:39:09,c8dd1eb6-320a-46d0-8a18-7133ed69d61e, XBTUSD, Sell, 7128.5, 32607
19-04-20,23:39:09,c8dd1eb6-320a-46d0-8a18-7133ed69d61e, XBTUSD, Sell, 7128.5, 32607
19-04-20,23:45:32,8f7e77c6-b1ae-1492-1220-289a9b21cf0c, XBTUSD, Sell, 7122, 22500
19-04-20,23:45:32,8f7e77c6-b1ae-1492-1220-289a9b21cf0c, XBTUSD, Sell, 7122, 22500
